,Unnamed: 0,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total,p
2657,2657,ropi02,967887,Avokádo Marináda tekutá pivní medová,98.0,"[150, 110, 12]",26,23.0,23.0,26,26,23,0.8846153846153846
2677,2677,ropi02,973158,Nutrilon Pronutra Vícezrnná kaše s ovocem,267.0,"[200, 130, 45]",9,9.0,9.0,9,9,9,1.0
2678,2678,ropi02,973197,Nutrilon Pronutra První kaše rýžová s příchutí vanilky,267.0,"[200, 130, 45]",13,13.0,13.0,13,13,13,1.0
2679,2679,ropi02,973200,Nutrilon Pronutra Piškotová kaše se 7 druhy obilovin,267.0,"[200, 130, 45]",10,10.0,10.0,10,10,10,1.0
2716,2716,ropi03,1374010,Alnatura BIO Sýrové tortellini,262.0,"[220, 147, 20]",2,2.0,2.0,2,2,2,1.0
2717,2717,ropi03,1374940,Alnatura BIO Gumoví medvídci mix,104.0,"[170, 120, 20]",1,1.0,1.0,1,1,1,1.0
2718,2718,ropi03,1375510,Alnatura BIO Směs semínek do salátu,110.0,"[180, 110, 40]",1,1.0,1.0,1,1,1,1.0
2727,2727,ropi03,1396393,Hami Mléčná kaše rýžová straciatella,267.0,"[200, 130, 46]",2,2.0,2.0,2,2,2,1.0
2728,2728,ropi03,1396408,Hami Mléčná kaše krupicová medová,267.0,"[200, 130, 46]",1,1.0,1.0,1,1,1,1.0
2754,2754,ropi03,1422218,REJ Rejfínci kukuřičný snack bez soli,22.0,"[200, 130, 45]",1,1.0,1.0,1,1,1,1.0
2769,2769,ropi03,1435853,Mäspoma BIO Cibule sušená,17.0,"[150, 110, 9]",2,2.0,2.0,2,2,2,1.0
2797,2797,ropi03,1466296,Topnatur Low Carb kaše Mandlová,63.0,"[170, 115, 10]",1,1.0,1.0,1,1,1,1.0
2798,2798,ropi03,1466927,Hello Ovocná přesnídávka XXL s mangem kapsička,220.0,"[192, 98, 30]",4,2.0,2.0,4,4,2,0.5
2869,2869,ropi03,1757277,Nissin Instantní nudlová polévka Hot Chilli Spicy,82.0,"[113, 99, 99]",1,1.0,1.0,1,1,1,1.0
2875,2875,ropi03,1760391,Gerber Organic BIO Nemléčná kaše s příchutí sušenky,240.0,"[195, 144, 41]",1,1.0,1.0,1,1,1,1.0
2876,2876,ropi03,1760397,Gerber Organic BIO Nemléčná kaše s příchutí vanilky,240.0,"[195, 144, 41]",1,1.0,1.0,1,1,1,1.0
2885,2885,ropi03,1761603,FruchtBar BIO Kukuřičné křupky se sýrem nesolené,33.0,"[210, 145, 55]",1,1.0,1.0,1,1,1,1.0
2956,2956,ropi03,1827579,Labeta Jíška světlá bez lepku,282.0,"[195, 145, 30]",2,2.0,2.0,2,2,2,1.0
2968,2968,ropi03,1832109,Lagris Rýže parboiled varné sáčky,438.0,"[170, 125, 46]",2,2.0,2.0,2,2,2,1.0
2969,2969,ropi03,1832115,Lagris Rýže loupaná varné sáčky,438.0,"[170, 125, 46]",1,1.0,1.0,1,1,1,1.0
2990,2990,ropi03,899310,Kotányi Pepř bílý mletý,20.0,"[10, 103, 140]",2,2.0,2.0,2,2,2,1.0
2995,2995,ropi03,900357,Bionebio BIO Melasky - celozrnné sušenky,138.0,"[74, 110, 162]",1,1.0,1.0,1,1,1,1.0
3005,3005,ropi03,900639,Holle BIO Rýžová kaše,300.0,"[62, 126, 204]",2,2.0,2.0,2,2,2,1.0
3025,3025,ropi03,903297,Vitana Polévka rajská,80.0,"[17, 128, 154]",1,1.0,1.0,1,1,1,1.0
